Gene name,Disease1,Disease2,Disease3,Control1,Control2,Control3
MRC1,3.667388,2.253394,3.566726,4.213673,2.699598,1.742447
MRC2,6.045727,7.939201,4.554782,8.065483,11.41883,10.605739
MRE11A,3.306237,3.487686,2.480789,2.846734,3.60274,2.435311
MREG,0.837062,0.491061,0.489067,0.887937,0.474679,0.92837
MRFAP1,86.291487,94.014927,92.902534,97.407828,97.851856,63.718169
MRFAP1L1,22.823072,25.12345,22.950135,25.284616,25.303841,17.866929
MRGBP,6.199309,8.197064,6.839276,8.176276,7.961172,4.48922
MRGPRD,0,0,0,0,0,0
MRGPRE,0.02943,0,0.029869,0.168652,0.136909,0.079488
MRGPRF,2.040285,1.893102,1.043382,1.20865,2.332777,0.815164
MRGPRG,0,0,0,0,0,0
MRGPRG-AS1,0,0,0,0.011561,0,0.018761
MRGPRX1,0,0,0,0.083167,0,0
MRGPRX2,0.02791,0,0.040387,0.03713,0.012794,0
MRGPRX3,0.121945,0.519012,0.265785,0.340233,0.431361,0.495326
MRGPRX4,0,0,0,0.016442,0.034019,0.013415
MRI1,4.55295,4.541042,3.756635,3.42282,5.320821,4.655637
MRM1,4.067021,5.748967,5.040804,3.561575,2.125431,3.644678
MRO,2.826815,3.126617,1.295463,2.161592,0.94031,2.288183
MROH1,4.261168,4.783521,4.326512,3.922774,5.340071,2.515402
MROH2A,0.016245,0,0,0,0,0
MROH2B,0,0,0,0.020204,0,0
MROH3P,0,0,0,0,0,0
MROH5,0,0.049975,0,0,0,0.01406
MROH6,0.215611,0.100058,0.069177,0.047868,0.102059,0.174023
MROH7,0.341426,0.510187,0.404132,0.484009,0.387499,0.621567
MROH7-TTC4,0.399001,0.571422,0.178475,0.586603,1.073538,0.626238
MROH8,0.801584,0.893704,1.012592,0.931525,1.332749,0.875571
MROH9,0,0.043655,0,0,0,0
MRP63,8.011302,8.471496,9.175547,9.13086,9.617158,7.36251
MRPL1,20.27191,20.797,24.765233,23.345935,22.342957,17.103736
MRPL10,22.702425,26.139343,22.039699,23.357577,25.439997,17.617952
MRPL11,16.324446,21.495203,18.330492,16.548706,15.329085,11.069421
MRPL12,90.148957,107.641704,102.59138,96.500721,82.390414,70.979061
MRPL13,30.177952,27.763159,24.624514,26.370226,24.088165,21.937952
MRPL14,21.228048,19.287359,17.913017,22.359771,21.811606,21.168041
MRPL15,37.613433,45.844863,39.127059,42.459959,34.938515,25.516874
MRPL16,48.103861,55.337828,52.118814,48.393687,48.039662,32.067624
MRPL17,9.838362,11.449806,8.68827,10.582048,10.08659,8.463147
MRPL18,22.714485,35.634623,26.465748,31.085926,27.824847,19.0044
MRPL19,23.749585,25.295318,22.23363,26.200595,23.218,16.314984
MRPL2,22.714182,26.390793,27.01744,25.229853,26.246895,19.952706
MRPL20,54.896112,58.135771,53.625681,57.342091,58.433618,50.912802
MRPL21,77.82913,77.967253,69.215399,83.211877,59.938184,45.757689
MRPL22,8.274056,7.475481,6.897733,8.847858,7.619668,6.295852
MRPL23,25.518236,36.079119,28.357228,29.142215,29.429792,19.719654
MRPL23-AS1,0.067037,0,0,0.107909,0,0
MRPL24,33.894402,41.517489,42.965276,40.00336,39.159734,28.207906
MRPL27,29.802499,38.921602,35.74867,36.078365,35.92976,22.761628
MRPL28,31.181329,32.420522,27.530462,34.740396,30.168366,22.220692
MRPL3,22.508477,32.509925,26.786483,32.770489,29.74176,25.001507
MRPL30,13.066556,14.136803,12.683328,13.969502,13.300618,8.656042
MRPL32,41.023358,42.595412,38.565252,43.909429,42.342301,33.14091
MRPL33,123.702258,142.078676,132.907625,141.648094,126.08281,103.09447
MRPL34,72.979524,104.843242,61.385058,90.633714,73.809898,53.745726
MRPL35,35.933918,33.499389,33.245264,40.171693,33.418206,23.785745
MRPL36,29.658081,46.474607,31.201638,34.257472,30.858714,27.311965
MRPL37,36.916361,44.135838,37.73118,40.382027,43.64642,35.58767
MRPL38,32.400463,39.773572,35.438831,35.322299,35.382794,25.528864
MRPL39,34.281783,30.005043,35.118919,34.276423,29.431074,24.282747
MRPL4,24.49376,31.223146,23.479361,27.092956,22.705943,18.820612
MRPL40,34.618905,31.821767,32.400373,31.678705,32.228918,22.787496
MRPL41,306.053853,442.212805,351.506308,348.367926,296.425957,227.720984
MRPL42,9.377855,12.419658,11.088187,11.2736,10.938972,7.130463
MRPL42P5,0,0,0,0,0.258488,0
MRPL43,21.683686,33.061893,28.160867,29.926054,27.623561,19.195314
MRPL44,19.489705,22.804077,22.699421,24.809105,22.69146,15.942111
MRPL45,17.451544,16.587842,17.86414,19.79753,18.114277,13.025446
MRPL45P2,0.505609,0.30714,0.371763,0.727731,0.767171,0.561515
MRPL46,25.66865,28.024891,34.190791,34.434706,28.331021,18.130827
MRPL47,26.416727,27.355664,21.088875,28.994833,23.294733,20.225843
MRPL48,11.606829,15.00986,13.808507,15.139267,13.984502,9.946569
MRPL49,16.716334,18.050768,16.318745,16.154462,17.311113,12.684688
MRPL50,24.763315,26.00659,21.87915,25.361774,24.72363,22.950224
MRPL51,109.681065,145.173419,133.753726,135.013618,132.360881,95.977669
MRPL52,13.623102,16.382866,16.268754,18.335798,16.022126,13.67069
MRPL53,62.939696,70.844115,63.775533,59.886684,53.331256,46.608793
MRPL54,44.700879,29.819897,32.758132,32.625088,35.352593,17.145707
MRPL55,21.122347,31.020632,24.224578,22.694916,18.990002,14.793649
MRPL9,15.084257,19.864019,15.277868,18.274558,18.495883,15.486227
MRPS10,28.221276,31.468283,29.671756,35.061194,34.216567,19.388327
MRPS11,19.949896,22.290327,17.604925,24.85596,19.035955,14.579438
MRPS12,29.876857,34.19894,27.326533,28.945934,25.235491,14.288809
MRPS14,8.87374,8.10965,6.621584,8.61236,8.561494,6.238016
MRPS15,44.997899,56.446946,52.454357,56.338913,47.202753,36.834752
MRPS16,34.895405,39.230896,33.378259,37.972382,35.12717,23.374395
MRPS17,15.457298,21.916091,20.705167,19.06071,18.995634,10.207985
MRPS18A,20.572483,18.21884,18.211221,23.614639,20.536105,14.390856
MRPS18B,55.080973,67.447434,60.984875,61.711493,57.41887,39.916554
MRPS18C,23.128679,23.999844,24.631298,24.261191,20.296824,15.741409
MRPS2,15.399379,16.655526,16.487468,16.023711,16.468069,12.272868
MRPS21,38.847194,38.987003,36.485462,37.203005,40.147056,27.911833
MRPS22,41.118663,46.097877,38.974553,44.345434,40.821404,34.337363
MRPS23,34.134329,35.594638,30.47912,35.354325,30.557392,20.123889
MRPS24,105.879065,150.248305,132.107362,129.513931,139.708447,89.863286
MRPS25,12.51128,31.31938,18.58011,29.499803,15.240526,10.528345
MRPS26,28.974546,34.164485,33.252549,30.386323,28.000254,22.440169
MRPS27,32.908182,31.318114,31.357962,30.238883,29.968179,22.563045
MRPS28,61.842478,64.046325,61.690387,64.988755,51.506256,38.754264
MRPS30,29.908805,41.756871,37.492171,38.843724,38.605159,28.766481
MRPS31,13.205268,16.043701,13.72723,16.740013,14.624667,12.209257
MRPS31P5,0.75541,1.217075,1.054695,1.019385,1.492898,1.309615
MRPS33,53.554003,71.936575,65.398535,72.487478,65.380291,46.190078
MRPS34,30.605266,37.622603,36.504031,38.575231,35.302694,26.266473
MRPS35,36.831083,38.971038,37.319962,38.460077,41.283365,32.56848
MRPS36,38.601685,48.974775,42.462008,49.595924,45.954345,30.744722
MRPS5,20.043262,24.756424,22.720929,23.736875,21.404147,19.242408
MRPS6,25.410038,23.407754,25.278985,22.018156,31.479358,22.163522
MRPS7,57.453411,61.13204,60.499546,67.04162,60.484112,41.471534
MRPS9,26.020013,34.417228,35.613106,36.424965,30.086032,23.431645
MRRF,8.062541,10.211717,7.714282,9.221688,7.365387,6.296726
MRS2,25.435048,34.981686,28.079593,29.356432,20.179638,18.003496
MRS2P2,0,0.037499,0,0,0.018541,0.086401
MRTO4,4.009315,4.349016,3.701984,3.438844,3.800738,3.894774
MRVI1,1.874682,2.054392,2.15826,2.083661,1.989463,0.677815
MRVI1-AS1,0,0.119843,0.324764,0.415431,0.047,0
MS4A1,0.031972,0,0.03474,0.078467,0.08919,0
MS4A10,0.519893,0.358991,0.264364,0.390508,0.321873,0.325963
MS4A12,0,0,0,0,0,0
MS4A13,0,0,0,0,0,0
MS4A14,0.087839,0.039514,0.055371,0.12832,0.083682,0.123301
MS4A15,0,0.035916,0,0.013116,0,0
MS4A18,0,0,0,0,0,0.18975
MS4A2,0.611553,0.212087,0.273258,0.248143,0.225207,0.233059
MS4A3,0,0,0,0.122831,0,0
MS4A4A,2.526481,1.594486,1.929913,2.59688,1.488846,1.112787
MS4A4E,0,0.386054,0.174725,0.249587,0.367527,0.391536
MS4A5,0,0,0,0,0,0
MS4A6A,4.948137,2.71844,3.136087,5.764371,2.659772,2.599291
MS4A6E,0,0,0,0,0,0
MS4A7,2.358335,1.519417,0.875468,1.561682,1.026765,1.071238
MS4A8,0.085664,0.198823,0.026368,0.080836,0.135087,0.131329
MSANTD1,0.039166,0,0.079865,0.074617,0.156796,0.012458
MSANTD2,1.394775,1.191817,1.217057,0.711081,1.731183,1.593699
MSANTD3,7.109522,5.946803,5.48188,5.735941,7.34988,5.490639
MSANTD3-TMEFF1,1.058114,0.933726,1.011953,0.908907,1.21401,0.904778
MSANTD4,8.98498,7.959205,6.825366,10.054432,8.226428,6.263472
MSC,1.834413,3.291394,1.502674,1.85919,2.407586,1.445247
MSGN1,0,0,0,0,0,0.243556
MSH2,6.478315,7.747428,8.015161,7.336052,8.39092,5.603514
MSH3,4.454075,4.00328,4.581042,5.413567,4.834179,3.52807
MSH4,0.353586,0.270455,0.130066,0.184173,0.258702,0.215711
MSH5,0.194185,0.181378,0,0.026884,0,0.144969
MSH5-SAPCD1,0,0,0.045696,0.069648,0.1133,0
MSH6,4.964886,6.497713,6.225708,6.06959,7.725182,5.406357
MSI1,1.920283,2.823734,1.456201,2.444938,3.662877,1.213458
MSI2,22.270353,28.175057,22.508798,24.843641,28.74511,19.535553
MSL1,6.967759,8.132202,6.566573,7.19002,8.446789,5.302162
MSL2,6.805949,8.957142,7.615341,8.568685,10.112472,7.181208
MSL3,3.983442,3.14528,3.223835,3.58682,3.781049,2.124343
MSL3P1,0.557165,0.523408,0.268594,0.606174,0.231886,0.288299
MSLN,0.231835,0.093757,0.039053,0.079302,0.042558,0.135633
MSMB,0.556043,0.795274,0,0.417113,0,0.546531
MSMO1,5.917874,6.037592,6.54558,5.522353,6.100218,4.82501
MSMP,0,0,0.028595,0,0,0
MSN,41.649859,34.278506,37.006587,42.898446,49.944629,29.976304
MSR1,1.039038,0.934056,0.816163,1.598165,0.748323,2.566875
MSRA,9.479753,13.181574,10.61824,10.968406,13.840821,11.181239
MSRB1,24.225697,21.866976,13.961992,18.324121,18.779299,18.01361
MSRB2,39.085014,45.841454,39.994115,40.491932,43.832915,29.043504
MSRB3,37.874649,42.885935,36.567862,40.816964,44.710052,29.842583
MSS51,2.670447,1.44087,1.363045,5.194706,6.163995,1.982801
MST1,0.21383,0.271628,0.408224,0.263246,0.16438,0.402354
MST1L,0,0,0.027239,0.019229,0.030085,0.035167
MST1P2,0.012698,0.177554,0.027962,0.024623,0.084677,0.37697
MST1R,0.510899,0.337072,0.123867,0.295752,0.201134,0.293543
MST4,0.598441,0.714972,0.323888,0.622875,0.485747,0.996911
MSTN,0,0,0.040428,0.029397,0.020525,0.31962
MSTO1,2.94014,3.194151,2.839382,3.267849,3.464477,2.235786
MSTO2P,0.126694,0.108744,0.149872,0,0.285281,0.219812
MSX1,1.42282,1.69522,1.28841,1.483215,1.319679,1.089541
MSX2,0.234568,0.383349,0.222204,0.427111,0.05758,0.081854
MSX2P1,0,0,0.090471,0.088432,0.034915,0
MT1A,0.259026,0,0.535623,0.542158,1.032196,0.085667
MT1B,0,0,0,0,0,0
MT1DP,0,0,0.09075,0,0,0
MT1E,56.520303,45.202599,83.091056,39.08653,47.488064,29.736524
MT1F,1.348654,0,0.937282,0.678677,1.528768,0
MT1G,0.172684,0.45932,0.089302,0.325295,0.120965,0
MT1H,0,0,0,0,0,0
MT1HL1,0,0,0,0,0,0
MT1IP,0,0,0,0,0,0
MT1JP,0,0,0.089271,0,0,0
MT1L,17.906382,16.578842,19.163186,20.035469,11.049652,8.808434
MT1M,1.98754,3.087783,3.171451,1.592581,3.84069,2.408062
MT1X,135.189733,163.671041,146.4929,60.396418,70.845069,47.704293
MT2A,35.93993,34.798583,60.109464,32.785036,35.975388,25.433281
MT3,0.696066,3.209804,1.892916,2.935032,2.661192,1.776656
MT4,0,0,0,0,0,0
MTA1,22.277533,27.334218,21.495099,22.20308,27.293107,18.483833
MTA2,9.353551,9.174382,8.323042,8.341597,9.145388,6.49042
MTA3,5.743311,6.178675,6.065903,6.967759,7.797836,7.593054
MTAP,4.789264,6.157071,5.400936,5.289843,6.256316,3.611072
MTBP,0.260088,0.575029,0.291056,0.277533,0.248558,0.089576
MTCH1,63.157444,66.482975,58.081492,63.433191,65.330756,45.081886
MTCH2,23.612806,30.911991,22.263355,26.264314,28.44195,19.122759
MTCP1,0.296793,0.079362,0.19904,0.140303,0.12425,0.641938
MTDH,18.340448,22.824535,20.063819,22.541299,21.960246,16.75726
MTERF,2.745692,3.336014,3.226607,3.246238,2.585079,0.986818
MTERFD1,9.308317,14.622093,11.272749,13.505457,11.881237,8.149775
MTERFD2,6.044861,6.69694,6.189614,6.754727,6.402978,4.845401
MTERFD3,6.475395,10.639217,8.437539,9.005804,7.904123,4.912922
MTF1,2.680361,2.72269,2.617373,2.975796,3.429962,2.096216
MTF2,3.069657,2.781472,2.500914,3.218311,3.189102,1.604857
MTFMT,9.282386,10.313985,7.675147,10.236275,9.960742,7.122377
MTFP1,4.104985,5.218019,3.006497,4.385677,2.082735,1.905314
MTFR1,2.926194,3.473271,3.438209,2.780944,3.234416,2.691306
MTFR1L,66.367452,89.424555,78.79685,73.928066,81.242544,52.869782
MTFR2,0.066096,0.17942,0.044171,0.052941,0,0
MTG1,4.160172,6.613483,6.788153,4.418996,6.270432,3.078881
MTG2,6.058418,3.93719,4.418913,6.354399,6.607864,4.004582
MTHFD1,18.110718,23.577079,18.925684,21.176498,19.177341,16.426452
